,DescriptorId,DescriptorName,DateCreated,DateRevised,DateEstablished,Descriptor_dcid
0,D000001,Calcimycin,1974-11-19,2016-05-27,1984-01-01,bio/D000001
1,D000002,Temefos,1999-01-01,2013-07-08,1991-01-01,bio/D000002
2,D000003,Abattoirs,1999-01-01,2016-06-08,1966-01-01,bio/D000003
3,D000004,Abbreviations as Topic,1999-01-01,2017-06-30,1960-01-01,bio/D000004
4,D000005,Abdomen,1999-01-01,2016-08-09,1966-01-01,bio/D000005
5,D000006,"Abdomen, Acute",1999-01-01,2017-06-20,1966-01-01,bio/D000006
6,D000007,Abdominal Injuries,1999-01-01,2010-06-25,1966-01-01,bio/D000007
7,D000008,Abdominal Neoplasms,1999-01-01,2015-11-24,1966-01-01,bio/D000008
8,D000009,Abdominal Muscles,1999-01-01,2016-05-31,1993-01-01,bio/D000009
9,D000010,Abducens Nerve,1999-01-01,2014-06-20,1966-01-01,bio/D000010
10,D000011,Abelson murine leukemia virus,1979-04-16,2020-08-13,1991-01-01,bio/D000011
11,D000012,Abetalipoproteinemia,1999-01-01,2013-07-08,1966-01-01,bio/D000012
12,D000013,Congenital Abnormalities,1999-01-01,2020-01-16,2008-01-01,bio/D000013
13,D000014,"Abnormalities, Drug-Induced",1999-01-01,2013-07-08,1964-01-01,bio/D000014
14,D000015,"Abnormalities, Multiple",1999-01-01,2015-12-01,1968-01-01,bio/D000015
15,D000016,"Abnormalities, Radiation-Induced",1978-03-20,2015-06-22,1979-01-01,bio/D000016
16,D000017,ABO Blood-Group System,1975-07-25,2005-06-30,1976-01-01,bio/D000017
17,D000018,Abomasum,1999-01-01,1995-05-18,1968-01-01,bio/D000018
18,D000019,Abortifacient Agents,1999-01-01,2014-06-25,1975-01-01,bio/D000019
19,D000020,"Abortifacient Agents, Nonsteroidal",1974-11-11,2014-06-25,1991-01-01,bio/D000020
20,D000021,"Abortifacient Agents, Steroidal",1974-11-11,2005-06-30,1991-01-01,bio/D000021
21,D000022,"Abortion, Spontaneous",1999-01-01,2018-06-21,1999-01-01,bio/D000022
22,D000023,Abortion Applicants,1974-11-19,2015-06-23,1976-01-01,bio/D000023
23,D000024,"Abortion, Criminal",1999-01-01,2015-06-23,1966-01-01,bio/D000024
24,D000025,"Abortion, Eugenic",1974-11-19,2015-06-23,1991-01-01,bio/D000025
25,D000026,"Abortion, Habitual",1999-01-01,2017-06-20,1966-01-01,bio/D000026
26,D000027,"Abortion, Incomplete",1974-11-11,2005-06-30,1975-09-01,bio/D000027
27,D000028,"Abortion, Induced",1999-01-01,2002-07-02,1971-01-01,bio/D000028
28,D000029,"Abortion, Legal",1999-01-01,2015-06-23,1964-01-01,bio/D000029
29,D000030,"Abortion, Missed",1999-01-01,2005-06-30,1966-01-01,bio/D000030
30,D000031,"Abortion, Septic",1999-01-01,2019-06-17,1966-01-01,bio/D000031
31,D000032,"Abortion, Therapeutic",1999-01-01,1997-06-20,1966-01-01,bio/D000032
32,D000033,"Abortion, Threatened",1999-01-01,2017-06-20,1966-01-01,bio/D000033
33,D000034,"Abortion, Veterinary",1999-01-01,2007-07-09,1966-01-01,bio/D000034
34,D000035,Abreaction,1999-01-01,1997-06-20,1968-01-01,bio/D000035
35,D000036,Abrin,1974-11-19,2007-07-09,1991-01-01,bio/D000036
36,D000037,Abruptio Placentae,1999-01-01,2005-06-30,1966-01-01,bio/D000037
37,D000038,Abscess,1999-01-01,2019-06-17,1966-01-01,bio/D000038
38,D000039,Peritonsillar Abscess,1999-01-01,2019-06-17,1989-01-01,bio/D000039
39,D000040,Abscisic Acid,1974-11-19,2019-07-02,1991-01-01,bio/D000040
40,D000041,Absenteeism,1999-01-01,1994-05-27,1963-01-01,bio/D000041
41,D000042,Absorption,1999-01-01,2016-05-02,1966-01-01,bio/D000042
42,D000043,Abstracting and Indexing,1999-01-01,2019-07-05,1960-01-01,bio/D000043
43,D000044,Dental Abutments,1999-01-01,2015-06-22,1970-01-01,bio/D000044
44,D000045,Acacia,1999-01-01,2020-08-13,1991-01-01,bio/D000045
45,D000046,Academic Medical Centers,1979-06-01,2019-05-24,1980-01-01,bio/D000046
46,D000047,Academies and Institutes,1999-01-01,1999-11-03,1970-01-01,bio/D000047
47,D000048,Acanthamoeba,1987-04-30,2020-08-13,1988-01-01,bio/D000048
48,D000049,Acanthocephala,1999-01-01,2020-08-13,1974-01-01,bio/D000049
49,D000050,Acanthocytes,1974-11-11,2003-07-09,1991-01-01,bio/D000050
50,D000051,Acantholysis,1999-01-01,2008-07-10,1991-01-01,bio/D000051
51,D000052,Acanthosis Nigricans,1999-01-01,2016-07-01,1966-01-01,bio/D000052
52,D000053,Acari,1999-01-01,2020-08-13,1975-01-01,bio/D000053
53,D000054,Acceleration,1999-01-01,2016-01-15,1966-01-01,bio/D000054
54,D000055,Accessory Nerve,1999-01-01,2014-06-13,1966-01-01,bio/D000055
55,D000056,Accident Prevention,1999-01-01,2008-07-08,1966-01-01,bio/D000056
56,D000057,Accident Proneness,1974-11-11,2002-07-02,1975-09-01,bio/D000057
57,D000058,Accidental Falls,1986-06-24,2015-06-16,1991-01-01,bio/D000058
58,D000059,Accidents,1999-01-01,2019-07-08,1966-01-01,bio/D000059
59,D000060,"Accidents, Aviation",1999-01-01,2015-11-30,1966-01-01,bio/D000060
60,D000061,"Accidents, Home",1999-01-01,2015-11-30,1970-01-01,bio/D000061
61,D000062,"Accidents, Occupational",1999-01-01,2011-06-24,1979-01-01,bio/D000062
62,D000063,"Accidents, Traffic",1999-01-01,2019-05-31,1966-01-01,bio/D000063
63,D000064,Acclimatization,1999-01-01,2016-02-19,1966-01-01,bio/D000064
64,D000065,"Accommodation, Ocular",1999-01-01,2016-06-02,1966-01-01,bio/D000065
65,D000066,Accounting,1999-01-01,1996-06-10,1966-01-01,bio/D000066
66,D000066388,Oil and Gas Industry,2015-07-01,2020-01-16,2016-01-01,bio/D000066388
67,D000066428,Coal Industry,2015-07-01,2015-10-05,2016-01-01,bio/D000066428
68,D000066448,Driving Under the Influence,2015-07-02,2019-05-06,2016-01-01,bio/D000066448
69,D000066449,Human Embryonic Stem Cells,2015-07-01,2020-05-27,2016-01-01,bio/D000066449
70,D000066450,Mouse Embryonic Stem Cells,2015-07-01,2020-05-27,2016-01-01,bio/D000066450
71,D000066473,Embryonic Germ Cells,2015-07-10,2015-07-10,2016-01-01,bio/D000066473
72,D000066477,Work Performance,2015-07-01,2015-06-16,2016-01-01,bio/D000066477
73,D000066479,Criminal Behavior,2015-07-01,2014-10-15,2016-01-01,bio/D000066479
74,D000066491,Clinical Decision-Making,2015-07-02,2019-05-08,2016-01-01,bio/D000066491
75,D000066492,Cognitive Aging,2015-07-07,2016-06-17,2016-01-01,bio/D000066492
76,D000066494,Cognitive Neuroscience,2015-07-07,2020-04-29,2016-01-01,bio/D000066494
77,D000066498,Emotional Adjustment,2015-07-10,2015-07-09,2016-01-01,bio/D000066498
78,D000066499,Facial Recognition,2015-07-07,2020-06-22,2016-01-01,bio/D000066499
79,D000066502,Grandparents,2015-07-01,2019-03-22,2016-01-01,bio/D000066502
80,D000066505,Help-Seeking Behavior,2015-07-01,2014-10-15,2016-01-01,bio/D000066505
81,D000066506,Heuristics,2015-07-06,2019-07-05,2016-01-01,bio/D000066506
82,D000066511,Intimate Partner Violence,2015-07-01,2015-04-09,2016-01-01,bio/D000066511
83,D000066530,Neurological Rehabilitation,2015-07-01,2019-07-05,2016-01-01,bio/D000066530
84,D000066550,Physical Abuse,2015-07-01,2015-04-09,2016-01-01,bio/D000066550
85,D000066553,Problem Behavior,2015-07-06,2016-07-05,2016-01-01,bio/D000066553
86,D000066608,Underage Drinking,2015-07-06,2020-05-27,2016-01-01,bio/D000066608
87,D000066630,Ectopic Gene Expression,2015-07-07,2016-06-17,2016-01-01,bio/D000066630
88,D000066670,Cell Plasticity,2015-07-09,2016-01-15,2016-01-01,bio/D000066670
89,D000066673,Cell Self Renewal,2015-07-09,2016-01-15,2016-01-01,bio/D000066673
90,D000066768,Rehabilitation Research,2015-07-01,2014-10-15,2016-01-01,bio/D000066768
91,D000066792,Orthodontists,2015-07-01,2018-06-29,2016-01-01,bio/D000066792
92,D000066794,Oral and Maxillofacial Surgeons,2015-07-01,2018-06-29,2016-01-01,bio/D000066794
93,D000066829,Neuroprotection,2015-07-07,2019-07-05,2016-01-01,bio/D000066829
94,D000066888,"Diet, Food, and Nutrition",2015-07-01,2015-06-17,2016-01-01,bio/D000066888
95,D000066889,Triticale,2015-07-01,2020-08-13,2016-01-01,bio/D000066889
96,D000066891,Critical Care Outcomes,2015-07-01,2019-05-30,2016-01-01,bio/D000066891
97,D000066908,Simulation Training,2015-07-01,2014-10-15,2016-01-01,bio/D000066908
98,D000066928,Millets,2015-07-01,2020-09-02,2016-01-01,bio/D000066928
99,D000066949,Biobehavioral Sciences,2015-07-09,2020-02-21,2016-01-01,bio/D000066949
100,D000066970,Protein Corona,2015-07-01,2014-10-15,2016-01-01,bio/D000066970
101,D000066988,Vegetarians,2015-07-06,2014-10-15,2016-01-01,bio/D000066988
102,D000066989,Vegans,2015-07-06,2014-10-15,2016-01-01,bio/D000066989
103,D000067,Accounts Payable and Receivable,1977-05-05,1990-05-30,1991-01-01,bio/D000067
104,D000067009,Youth Sports,2015-07-01,2014-10-15,2016-01-01,bio/D000067009
105,D000067010,Literacy,2015-07-10,2017-06-30,2016-01-01,bio/D000067010
106,D000067011,Severe Acute Malnutrition,2015-07-01,2014-10-15,2016-01-01,bio/D000067011
107,D000067012,"Banking, Personal",2015-07-01,2014-10-23,2016-01-01,bio/D000067012
108,D000067013,Evidence-Based Facility Design,2015-07-01,2014-10-15,2016-01-01,bio/D000067013
109,D000067029,"Physical Appearance, Body",2015-07-01,2015-11-24,2016-01-01,bio/D000067029
110,D000067030,Fruit and Vegetable Juices,2015-07-01,2019-07-09,2016-01-01,bio/D000067030
111,D000067048,Ghee,2015-07-01,2015-01-12,2016-01-01,bio/D000067048
112,D000067071,Hydraulic Fracking,2015-07-01,2014-10-15,2016-01-01,bio/D000067071
113,D000067073,Psychological Trauma,2015-07-06,2019-01-14,2016-01-01,bio/D000067073
114,D000067074,Peer Influence,2015-07-01,2015-07-01,2016-01-01,bio/D000067074
115,D000067075,Vegetable Products,2015-07-01,2014-10-14,2016-01-01,bio/D000067075
116,D000067088,Direct-to-Consumer Advertising,2015-07-01,2014-10-15,2016-01-01,bio/D000067088
117,D000067108,Direct-To-Consumer Screening and Testing,2015-07-06,2015-06-26,2016-01-01,bio/D000067108
118,D000067128,Extracellular Vesicles,2015-07-10,2015-07-10,2016-01-01,bio/D000067128
119,D000067148,Fungal Viruses,2015-07-01,2020-09-02,2016-01-01,bio/D000067148
120,D000067170,Telocytes,2015-07-06,2015-01-12,2016-01-01,bio/D000067170
121,D000067190,Exoskeleton Device,2015-07-07,2015-07-06,2016-01-01,bio/D000067190
122,D000067208,Shellfish Hypersensitivity,2015-07-06,2014-11-21,2016-01-01,bio/D000067208
123,D000067248,"Failure to Rescue, Health Care",2015-07-09,2019-05-30,2016-01-01,bio/D000067248
124,D000067250,Psychiatric Rehabilitation,2015-07-01,2020-04-29,2016-01-01,bio/D000067250
125,D000067251,Symptom Flare Up,2015-07-01,2018-10-05,2016-01-01,bio/D000067251
126,D000067268,Isolated Heart Preparation,2015-07-06,2018-11-02,2016-01-01,bio/D000067268
127,D000067269,"Diet, Vegan",2015-07-09,2016-06-30,2016-01-01,bio/D000067269
128,D000067289,Behavior Observation Techniques,2015-07-09,2015-07-07,2016-01-01,bio/D000067289
129,D000067290,Behavior Rating Scale,2015-07-09,2015-07-07,2016-01-01,bio/D000067290
130,D000067292,Alcohol Drinking in College,2015-07-09,2015-07-07,2016-01-01,bio/D000067292
131,D000067329,"Obesity, Metabolically Benign",2015-07-01,2019-05-30,2016-01-01,bio/D000067329
132,D000067348,Whole Grains,2015-07-01,2015-02-26,2016-01-01,bio/D000067348
133,D000067368,Transanal Endoscopic Surgery,2015-07-01,2017-06-20,2016-01-01,bio/D000067368
134,D000067369,Transanal Endoscopic Microsurgery,2015-07-01,2015-01-12,2016-01-01,bio/D000067369
135,D000067390,Cold Injury,2015-07-07,2015-07-06,2016-01-01,bio/D000067390
136,D000067393,Personal Protective Equipment,2015-07-01,2020-05-27,2016-01-01,bio/D000067393
137,D000067397,Nerve Agents,2015-07-01,2020-05-27,2016-01-01,bio/D000067397
138,D000067398,War-Related Injuries,2015-07-06,2015-06-29,2016-01-01,bio/D000067398
139,D000067399,Abnormal Involuntary Movement Scale,2015-07-09,2015-07-07,2016-01-01,bio/D000067399
140,D000067401,Blood Alcohol Content,2015-07-02,2014-12-02,2016-01-01,bio/D000067401
141,D000067404,Social Communication Disorder,2015-07-01,2015-02-10,2016-01-01,bio/D000067404
142,D000067408,Legal Services,2015-07-01,2014-12-02,2016-01-01,bio/D000067408
143,D000067448,Defamation,2015-07-01,2019-03-22,2016-01-01,bio/D000067448
144,D000067449,Anger Management Therapy,2015-07-01,2015-01-12,2016-01-01,bio/D000067449
145,D000067450,"Psychology, Sports",2015-07-01,2018-06-29,2016-01-01,bio/D000067450
146,D000067453,War Exposure,2015-07-07,2018-06-29,2016-01-01,bio/D000067453
147,D000067454,Childhood-Onset Fluency Disorder,2015-07-01,2015-06-30,2016-01-01,bio/D000067454
148,D000067455,No-Show Patients,2015-07-06,2017-06-20,2016-01-01,bio/D000067455
149,D000067470,Cellular Reprogramming Techniques,2015-07-06,2017-03-16,2016-01-01,bio/D000067470
150,D000067489,Metacognition,2015-07-06,2017-06-20,2016-01-01,bio/D000067489
151,D000067490,Prescription Drug Overuse,2015-07-01,2017-06-30,2016-01-01,bio/D000067490
152,D000067491,"Near Miss, Healthcare",2015-07-01,2015-06-26,2016-01-01,bio/D000067491
153,D000067492,RNAi Therapeutics,2015-07-02,2015-06-16,2016-01-01,bio/D000067492
154,D000067493,Dynamic Light Scattering,2015-07-01,2015-01-21,2016-01-01,bio/D000067493
155,D000067494,"Time Out, Healthcare",2015-07-01,2015-01-09,2016-01-01,bio/D000067494
156,D000067495,Healthcare Failure Mode and Effect Analysis,2015-07-01,2015-01-09,2016-01-01,bio/D000067495
157,D000067496,Spirit Possession,2015-07-01,2019-07-05,2016-01-01,bio/D000067496
158,D000067498,"Crew Resource Management, Healthcare",2015-07-01,2015-01-09,2016-01-01,bio/D000067498
159,D000067508,Computer Heuristics,2015-07-07,2019-03-22,2016-01-01,bio/D000067508
160,D000067528,Ataxins,2015-07-06,2020-05-27,2016-01-01,bio/D000067528
161,D000067531,Alarmins,2015-07-01,2016-06-30,2016-01-01,bio/D000067531
162,D000067548,Dermal Fillers,2015-07-01,2015-01-21,2016-01-01,bio/D000067548
163,D000067549,Action Spectrum,2015-07-01,2015-06-16,2016-01-01,bio/D000067549
164,D000067551,Diplomacy,2015-07-01,2017-06-20,2016-01-01,bio/D000067551
165,D000067552,Mutation Accumulation,2015-07-01,2015-01-21,2016-01-01,bio/D000067552
166,D000067556,Internal Ribosome Entry Sites,2015-07-01,2015-01-12,2016-01-01,bio/D000067556
167,D000067558,Biological Mimicry,2015-07-06,2016-06-02,2016-01-01,bio/D000067558
168,D000067559,Specific Learning Disorder,2015-07-01,2015-02-10,2016-01-01,bio/D000067559
169,D000067561,Potentially Inappropriate Medication List,2015-07-09,2015-07-09,2016-01-01,bio/D000067561
170,D000067562,Late Onset Disorders,2015-07-09,2015-07-08,2016-01-01,bio/D000067562
171,D000067563,Phakopsora pachyrhizi,2015-07-01,2020-05-27,2016-01-01,bio/D000067563
172,D000067565,Farmers,2015-07-09,2015-07-07,2016-01-01,bio/D000067565
173,D000067568,Culturally Appropriate Technology,2015-07-01,2015-01-21,2016-01-01,bio/D000067568
174,D000067570,Social Learning,2015-07-01,2015-01-21,2016-01-01,bio/D000067570
175,D000067571,Financial Statements,2015-07-01,2015-07-02,2016-01-01,bio/D000067571
176,D000067572,Miners,2015-07-01,2015-01-12,2016-01-01,bio/D000067572
177,D000067573,Chronopharmacokinetics,2015-07-01,2015-01-21,2016-01-01,bio/D000067573
178,D000067575,"Administrative Claims, Healthcare",2015-07-01,2015-01-21,2016-01-01,bio/D000067575
179,D000067576,Child Health,2015-07-10,2020-06-12,2016-01-01,bio/D000067576
180,D000067596,Interleukin-33,2015-07-01,2016-06-30,2016-01-01,bio/D000067596
181,D000067616,S100A12 Protein,2015-07-01,2016-07-01,2016-01-01,bio/D000067616
182,D000067617,Telopodes,2015-07-01,2015-06-12,2016-01-01,bio/D000067617
183,D000067636,Drosophila simulans,2015-07-07,2020-08-13,2016-01-01,bio/D000067636
184,D000067656,Optimism,2015-07-01,2020-05-27,2016-01-01,bio/D000067656
185,D000067657,Pessimism,2015-07-01,2016-03-02,2016-01-01,bio/D000067657
186,D000067696,Ataxin-1,2015-07-06,2015-11-23,2016-01-01,bio/D000067696
187,D000067697,Adolescent Health,2015-07-06,2020-06-17,2016-01-01,bio/D000067697
188,D000067698,Ataxin-2,2015-07-06,2015-11-23,2016-01-01,bio/D000067698
189,D000067699,Ataxin-3,2015-07-06,2016-05-27,2016-01-01,bio/D000067699
190,D000067716,Point-of-Care Testing,2015-07-10,2020-06-09,2016-01-01,bio/D000067716
191,D000067719,Ataxin-7,2015-07-06,2015-11-23,2016-01-01,bio/D000067719
192,D000067736,Ataxin-10,2015-07-01,2015-11-23,2016-01-01,bio/D000067736
193,D000067756,Glucagon-Like Peptide Receptors,2015-07-01,2020-05-27,2016-01-01,bio/D000067756
194,D000067757,Glucagon-Like Peptide-1 Receptor,2015-07-01,2016-06-17,2016-01-01,bio/D000067757
195,D000067758,Glucagon-Like Peptide-2 Receptor,2015-07-01,2016-06-17,2016-01-01,bio/D000067758
196,D000067759,Receptor for Advanced Glycation End Products,2015-07-01,2020-05-27,2016-01-01,bio/D000067759
197,D000067776,RNA Recognition Motif Proteins,2015-07-01,2016-04-15,2016-01-01,bio/D000067776
198,D000067777,ELAV-Like Protein 2,2015-07-10,2015-11-23,2016-01-01,bio/D000067777
199,D000067778,ELAV-Like Protein 3,2015-07-10,2015-11-23,2016-01-01,bio/D000067778
200,D000067779,ELAV-Like Protein 4,2015-07-10,2015-11-23,2016-01-01,bio/D000067779
201,D000067780,ELAV-Like Protein 1,2015-07-10,2015-07-10,2016-01-01,bio/D000067780
202,D000067796,Whey,2015-07-01,2019-07-09,2016-01-01,bio/D000067796
203,D000067816,Whey Proteins,2015-07-01,2019-07-08,2016-01-01,bio/D000067816
204,D000067836,Hoarding Disorder,2015-07-01,2017-03-08,2016-01-01,bio/D000067836
205,D000067856,Poly(ADP-ribose) Polymerase Inhibitors,2015-07-01,2020-05-27,2016-01-01,bio/D000067856
206,D000067877,Autism Spectrum Disorder,2015-07-09,2020-05-27,2016-01-01,bio/D000067877
207,D000067878,CELF Proteins,2015-07-01,2015-02-26,2016-01-01,bio/D000067878
208,D000067879,CELF1 Protein,2015-07-01,2015-02-26,2016-01-01,bio/D000067879
209,D000067896,Industrial Development,2015-07-10,2015-07-10,2016-01-01,bio/D000067896
210,D000067917,Cloud Computing,2015-07-01,2019-03-22,2016-01-01,bio/D000067917
211,D000067936,Natural Resources,2015-07-09,2015-07-07,2016-01-01,bio/D000067936
212,D000067940,Glycemic Load,2015-07-07,2016-04-27,2016-01-01,bio/D000067940
213,D000067956,Adenylyl Cyclase Inhibitors,2015-07-01,2015-04-02,2016-01-01,bio/D000067956
214,D000067996,RAW 264.7 Cells,2015-07-07,2015-07-06,2016-01-01,bio/D000067996
215,D000068,Accreditation,1999-01-01,1994-06-03,1966-01-01,bio/D000068
216,D000068016,Clostridiales,2015-07-07,2020-08-13,2016-01-01,bio/D000068016
217,D000068036,Graphic Novel,2015-07-01,2019-07-05,2016-01-01,bio/D000068036
218,D000068037,South Sudan,2015-07-01,2015-02-10,2016-01-01,bio/D000068037
219,D000068079,Motor Disorders,2015-07-01,2019-04-29,2016-01-01,bio/D000068079
220,D000068097,Maternal Health,2015-07-07,2015-07-06,2016-01-01,bio/D000068097
221,D000068098,Seed Bank,2015-07-01,2018-06-29,2016-01-01,bio/D000068098
222,D000068099,Trauma and Stressor Related Disorders,2015-07-01,2015-06-30,2016-01-01,bio/D000068099
223,D000068101,Maternal-Child Health Services,2015-07-07,2019-07-01,2016-01-01,bio/D000068101
224,D000068103,Serine-Arginine Splicing Factors,2015-07-10,2016-07-01,2016-01-01,bio/D000068103
225,D000068104,Infant Health,2015-07-09,2015-07-08,2016-01-01,bio/D000068104
226,D000068105,Bipolar and Related Disorders,2015-07-01,2019-04-29,2016-01-01,bio/D000068105
227,D000068116,Gender Dysphoria,2015-07-01,2020-06-17,2016-01-01,bio/D000068116
228,D000068156,Formative Feedback,2015-07-01,2017-06-30,2016-01-01,bio/D000068156
229,D000068180,Aripiprazole,2015-07-01,2018-06-20,2016-01-01,bio/D000068180
230,D000068181,Prunus dulcis,2015-07-01,2020-09-02,2016-01-01,bio/D000068181
231,D000068196,Albumin-Bound Paclitaxel,2015-07-01,2015-06-05,2016-01-01,bio/D000068196
232,D000068216,Child Protective Services,2015-07-09,2015-07-07,2016-01-01,bio/D000068216
233,D000068217,Social Workers,2015-07-07,2015-07-07,2016-01-01,bio/D000068217
234,D000068218,Prunus africana,2015-07-01,2020-08-13,2016-01-01,bio/D000068218
235,D000068219,Prunus armeniaca,2015-07-01,2020-09-02,2016-01-01,bio/D000068219
236,D000068220,Prunus avium,2015-07-01,2020-09-02,2016-01-01,bio/D000068220
237,D000068236,Refugium,2015-07-01,2015-06-24,2016-01-01,bio/D000068236
238,D000068237,Distance Counseling,2015-07-01,2015-06-29,2016-01-01,bio/D000068237
239,D000068238,Lubiprostone,2015-07-10,2015-07-09,2016-01-01,bio/D000068238
240,D000068239,Prunus persica,2015-07-01,2020-09-02,2016-01-01,bio/D000068239
241,D000068240,Data Anonymization,2015-07-06,2017-07-03,2016-01-01,bio/D000068240
242,D000068241,Personally Identifiable Information,2015-07-06,2015-06-29,2016-01-01,bio/D000068241
243,D000068242,Prunus domestica,2015-07-01,2020-09-02,2016-01-01,bio/D000068242
244,D000068256,Darbepoetin alfa,2015-07-10,2015-10-06,2016-01-01,bio/D000068256
245,D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",2015-07-10,2019-04-29,2016-01-01,bio/D000068257
246,D000068258,Bevacizumab,2015-07-10,2018-11-02,2016-01-01,bio/D000068258
247,D000068276,Giraffes,2015-07-01,2020-08-13,2016-01-01,bio/D000068276
248,D000068296,Risedronic Acid,2015-07-01,2019-01-03,2016-01-01,bio/D000068296
249,D000068297,Fluticasone-Salmeterol Drug Combination,2015-07-01,2017-01-17,2016-01-01,bio/D000068297
250,D000068298,Fluticasone,2015-07-01,2016-05-31,2016-01-01,bio/D000068298
251,D000068299,Salmeterol Xinafoate,2015-07-01,2015-06-05,2016-01-01,bio/D000068299
